,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
228,2022,13,2022-12-04,Jaguars,Lions,Ford Field,"Detroit, MI",1,0.4555,0.5445
229,2022,13,2022-12-04,Jets,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.5634,0.4366
230,2022,13,2022-12-04,Washington,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
231,2022,13,2022-12-04,Titans,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.597,0.403
232,2022,13,2022-12-04,Broncos,Ravens,M&T Bank Stadium,"Baltimore, MD",0,0.597,0.403
233,2022,13,2022-12-04,Browns,Texans,NRG Stadium,"Houston, TX",0,0.6382,0.3618
234,2022,13,2022-12-04,Seahawks,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
235,2022,13,2022-12-04,Dolphins,49ers,Levi's Stadium,"Santa Clara, CA",0,0.597,0.403
236,2022,13,2022-12-04,Chiefs,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.7309,0.2691
237,2022,13,2022-12-04,Chargers,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.597,0.403
238,2022,13,2022-12-04,Colts,Cowboys,AT&T Stadium,"Arlington, TX",0,0.597,0.403
239,2022,13,2022-12-05,Saints,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.7724,0.2276
240,2022,17,2022-12-29,Cowboys,Titans,Nissan Stadium,"Nashville, TN",0,0.597,0.403
241,2022,17,2023-01-01,Cardinals,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
242,2022,17,2023-01-01,Bears,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
243,2022,17,2023-01-01,Broncos,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",0,0.5836,0.4164
244,2022,17,2023-01-01,Dolphins,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5998,0.4002
245,2022,17,2023-01-01,Colts,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
246,2022,17,2023-01-01,Saints,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.7724,0.2276
247,2022,17,2023-01-01,Panthers,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.597,0.403
248,2022,17,2023-01-01,Browns,Washington,FedExField,"Landover, MD",0,0.597,0.403
249,2022,17,2023-01-01,Steelers,Ravens,M&T Bank Stadium,"Baltimore, MD",0,0.597,0.403
250,2022,17,2023-01-01,Jaguars,Texans,NRG Stadium,"Houston, TX",1,0.4837,0.5163
251,2022,17,2023-01-01,49ers,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.597,0.403
252,2022,17,2023-01-01,Jets,Seahawks,Lumen Field,"Seattle, WA",0,0.5634,0.4366
