,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
253,17,Texans,49ers,49ers,49ers,SF,SF,-745.0,100.0,Yes,113.42281879194631
254,17,Vikings,Packers,Packers,Packers,GB,GB,-735.0,100.0,Yes,113.60544217687075
255,18,49ers,Rams,49ers,49ers,SF,SF,175.0,100.0,Yes,275.0
256,18,Bears,Vikings,Bears,Vikings,CHI,CHI,175.0,100.0,No,-100.0
257,18,Bengals,Browns,Browns,Browns,CLE,CLE,-255.0,100.0,Yes,139.2156862745098
258,18,Chargers,Raiders,Raiders,Raiders,LV,LV,140.0,100.0,Yes,240.0
259,18,Chiefs,Broncos,Chiefs,Chiefs,KC,KC,-605.0,100.0,Yes,116.52892561983471
260,18,Colts,Jaguars,Colts,Jaguars,IND,IND,-1045.0,100.0,No,-100.0
261,18,Cowboys,Eagles,Cowboys,Cowboys,DAL,DAL,-180.0,100.0,Yes,155.55555555555554
262,18,Jets,Bills,Bills,Bills,BUF,BUF,-1125.0,100.0,Yes,108.88888888888889
263,18,Packers,Lions,Packers,Lions,GB,GB,-165.0,100.0,No,-100.0
264,18,Panthers,Buccaneers,Buccaneers,Buccaneers,TB,TB,-375.0,100.0,Yes,126.66666666666667
265,18,Patriots,Dolphins,Dolphins,Dolphins,MIA,MIA,230.0,100.0,Yes,330.0
266,18,Saints,Falcons,Saints,Saints,NO,NO,-185.0,100.0,Yes,154.05405405405406
267,18,Seahawks,Cardinals,Seahawks,Seahawks,SEA,SEA,210.0,100.0,Yes,310.0
268,18,Steelers,Ravens,Steelers,Steelers,PIT,PIT,165.0,100.0,Yes,265.0
269,18,Titans,Texans,Texans,Titans,HOU,HOU,410.0,100.0,No,-100.0
270,18,Washington,Giants,Washington,Washington,WAS,WAS,-310.0,100.0,Yes,132.25806451612902
